frontal_theta,frontal_alpha,frontal_beta,frontal_delta,frontal_gamma,parietal_theta,parietal_alpha,parietal_beta,global_alpha,global_beta,global_theta,roi_ab_ratio,theta_beta_ratio,global_ab_ratio,roi_alpha_rel,roi_beta_rel,global_alpha_rel,global_beta_rel,subject,session,task,workload,epoch,filename,ica_components_removed
4.0651218266210647e-11,9.144423369784609e-12,8.352804028571609e-12,1.3884286802777252e-10,3.4884919958319623e-12,7.60209311035488e-11,6.006895682301753e-11,2.0010630634095867e-11,3.0969223421170145e-11,1.3349015430939148e-11,5.5809666625069854e-11,7.191472063458642,4.866775052683991,2.319963114986927,0.8779218201254811,0.12207817987451881,0.6987918343171299,0.3012081656828701,sub-01,ses-S1,Flanker,Medium,0,Flanker,7
1.2067679466579197e-11,8.300748744334295e-12,6.481209200725552e-12,4.8113234568471354e-11,1.6432363066327167e-12,3.1698890355773383e-11,7.489969104442954e-11,1.91551734769871e-11,3.684315258723226e-11,1.1912908176266217e-11,2.0481055561948136e-11,11.556437807322242,1.861948764935447,3.0927085176929285,0.9203595784612691,0.0796404215387308,0.7556630295861619,0.24433697041383803,sub-01,ses-S1,Flanker,Medium,1,Flanker,7
5.814641693769789e-11,9.70769567950521e-12,7.351951839319874e-12,1.1065611935917782e-10,2.5139294415277557e-12,1.044608502621696e-10,8.237703507998991e-11,2.010590541955705e-11,4.085169827971294e-11,1.2817931945135807e-11,7.79954597910429e-11,11.204784372963273,7.908976855196183,3.1870740502109998,0.9180649186875225,0.08193508131247745,0.761169736190931,0.23883026380906897,sub-01,ses-S1,Flanker,Medium,2,Flanker,7
2.2690657881989638e-11,1.0281257977181683e-11,7.1072142657532e-12,5.900498635078142e-11,1.8904474372959506e-12,4.662133112318941e-11,9.875390881199311e-11,2.1113224371244703e-11,4.819810833495801e-11,1.310979002524956e-11,3.2946660699646685e-11,13.894882737368476,3.1926233026808783,3.6764973536668455,0.9328628484270516,0.0671371515729484,0.7861647458827494,0.21383525411725066,sub-01,ses-S1,Flanker,Medium,3,Flanker,7
2.818713648811591e-11,1.0491764697701246e-11,7.068150400416996e-12,1.398536929007645e-10,1.9365361007576505e-12,6.206362576375721e-11,8.157074725548217e-11,2.1231062178286092e-11,4.095418579389307e-11,1.3137969733789466e-11,4.270563189196218e-11,11.540607179308152,3.9879084189341767,3.1172385554035222,0.9202590444225072,0.07974095557749292,0.7571187613873901,0.24288123861260985,sub-01,ses-S1,Flanker,Medium,4,Flanker,7
2.114186395168009e-11,9.199929582407212e-12,6.953689059969745e-12,1.6073813780079615e-10,1.826104479975758e-12,4.552607818847861e-11,6.578512246420894e-11,1.931361853808497e-11,3.345072653175081e-11,1.2250801693447698e-11,3.15922414817366e-11,9.460463632593772,3.040380978980972,2.730492858246316,0.9044019428656969,0.09559805713430318,0.731938905126307,0.268061094873693,sub-01,ses-S1,Flanker,Medium,5,Flanker,7
2.0168262651606938e-11,1.0385552913602443e-11,8.067782992177656e-12,1.0770973546166456e-10,5.602443659410952e-12,4.8302312923335215e-11,7.073404304583057e-11,2.2650892256289536e-11,3.624919154170021e-11,1.4317686962511318e-11,3.222571276806191e-11,8.767469714345657,2.499851901217675,2.531777069621175,0.8976193395786748,0.10238066042132511,0.7168564209214763,0.2831435790785237,sub-01,ses-S1,Flanker,Medium,6,Flanker,7
1.492124332428425e-11,9.06162383768766e-12,6.022345913118763e-12,8.934842227678196e-11,1.6105544124879848e-12,3.60248717969662e-11,5.334233489633771e-11,1.7406597340372083e-11,2.8039071434251967e-11,1.0901310810513042e-11,2.3965655526862227e-11,8.857401362505524,2.47764634239634,2.572082561595396,0.898553385093592,0.10144661490640805,0.7200512634418587,0.2799487365581413,sub-01,ses-S1,Flanker,Medium,7,Flanker,7
3.042610888050676e-11,1.0973959967213385e-11,7.319209874355966e-12,1.6002335053466439e-10,1.9648164143160198e-12,6.217366518324706e-11,1.0962484145318849e-10,2.3428442536706947e-11,5.325290917548844e-11,1.4223166729649243e-11,4.403220443882403e-11,14.97768793832198,4.157020963029022,3.74409652841085,0.9374127217992829,0.06258727820071712,0.7892117089078341,0.2107882910921659,sub-01,ses-S1,Flanker,Medium,8,Flanker,7
2.3566516481547873e-11,1.257864542498932e-11,7.787859870087272e-12,2.1204534394519526e-10,1.91021841448103e-12,4.623480922005513e-11,8.884589650258055e-11,2.236729381175646e-11,4.526461017252841e-11,1.403618870223121e-11,3.3281499083765265e-11,11.408255667751881,3.0260581051368844,3.2248505012855158,0.9194084948943367,0.0805915051056632,0.7633052341862215,0.23669476581377855,sub-01,ses-S1,Flanker,Medium,9,Flanker,7
