frontal_theta,frontal_alpha,frontal_beta,frontal_delta,frontal_gamma,parietal_theta,parietal_alpha,parietal_beta,global_alpha,global_beta,global_theta,roi_ab_ratio,theta_beta_ratio,global_ab_ratio,roi_alpha_rel,roi_beta_rel,global_alpha_rel,global_beta_rel,subject,session,task,workload,epoch,filename,ica_components_removed,resting_type
8.077102945419525e-12,2.4484301533450306e-11,6.9418460924448345e-12,1.4184750845704523e-11,1.7468579585924958e-12,3.107541237707653e-11,3.241428209890607e-10,3.429461810618389e-11,1.529093813001405e-10,1.8664462669761574e-11,1.7933521273272525e-11,46.69403738896515,1.1635381767121356,8.192541301918649,0.9790330184915029,0.020966981508497066,0.8912161537102605,0.10878384628973949,sub-01,ses-S1,Resting,Resting,0,RS_Beg_EC,2,pre_EC
8.226967822169324e-12,2.4246860447634912e-11,7.524468010099917e-12,1.5722971281366423e-11,1.9596244233631907e-12,4.344545583026751e-11,3.1225731327209104e-10,2.8589876792621793e-11,1.476799116581161e-10,1.6552500345466434e-11,2.332060553992569e-11,41.49892229629462,1.0933620571084173,8.921909595281425,0.9764699915675935,0.023530008432406473,0.8992129498463107,0.10078705015368929,sub-01,ses-S1,Resting,Resting,1,RS_Beg_EC,2,pre_EC
4.6093398604293825e-12,7.812955762499399e-12,5.252349690777215e-12,9.117460968352814e-12,1.3636839076205554e-12,1.6063570301873464e-11,8.037048695044469e-11,2.2430693660927006e-11,3.8909040557333093e-11,1.2614497106555698e-11,9.518295763905418e-12,15.301815698137931,0.8775767288539612,3.084470211429375,0.9386571398844716,0.0613428601155284,0.7551702061134519,0.24482979388654824,sub-01,ses-S1,Resting,Resting,0,RS_Beg_EO,4,pre_EO
6.974831239465826e-12,1.2755890200399928e-11,5.679682309881706e-12,9.942116162126248e-12,1.2607476380927944e-12,1.5589408229753343e-11,8.082356631193431e-11,1.986473537143647e-11,4.192775139105752e-11,1.175899076483375e-11,1.0666792806731905e-11,14.230297031105893,1.2280319318794952,3.565590978814779,0.9343413987292808,0.06565860127071918,0.7809703049090048,0.21902969509099535,sub-01,ses-S1,Resting,Resting,0,RS_End_EO,3,post_EO
5.32161358806259e-12,1.431818328898078e-11,5.7781200216267975e-12,1.0140006129621128e-11,1.4158015948780508e-12,1.6277425078902107e-11,6.880782580450566e-11,2.1575399543873923e-11,3.767088722420573e-11,1.2548382674018423e-11,1.0016961369850954e-11,11.908341389061905,0.9209939509986709,3.0020511967812196,0.9225307132915336,0.07746928670846638,0.750128134091767,0.24987186590823293,sub-01,ses-S1,Resting,Resting,1,RS_End_EO,3,post_EO
8.329455083857578e-12,1.8532169193757075e-11,7.522172169620195e-12,1.4456642340528058e-11,2.245378223423858e-12,3.427576230859782e-11,2.5906389371372775e-10,3.320574281054897e-11,1.2161719398803022e-10,1.8529416730018238e-11,1.9449301037317683e-11,34.44003778057745,1.1073204515974464,6.5634658532454795,0.9717833257912598,0.02821667420874026,0.8677854809682389,0.13221451903176115,sub-01,ses-S1,Resting,Resting,0,RS_End_Ec,4,post_EC
7.200534262052157e-12,1.6537349437216507e-11,7.164349152988158e-12,1.001711778375949e-11,2.289229384306284e-12,2.7486408756394083e-11,2.1281412718936718e-10,2.848049653923301e-11,1.0065596847385251e-10,1.6299840889950237e-11,1.5894480473912983e-11,29.70460018696955,1.0050507182566482,6.175273068825631,0.9674315902532291,0.03256840974677081,0.8606324818013276,0.13936751819867238,sub-01,ses-S1,Resting,Resting,1,RS_End_Ec,4,post_EC
6.135001463585635e-12,9.314996253058462e-12,5.163148039737304e-12,7.965721950885749e-12,1.5595835603325963e-12,2.4372492921938097e-11,2.8454056267401456e-10,3.238796741819406e-11,1.2726881043346825e-10,1.6830927773361628e-11,1.3951069231450973e-11,55.10989816369699,1.18822885115217,7.561603979722203,0.9821778325620453,0.017822167437954794,0.8831994562737943,0.1168005437262057,sub-01,ses-S2,Resting,Resting,0,RS_Beg_EC,1,pre_EC
5.221597472587637e-12,1.0448529895276296e-11,5.260858285882491e-12,9.48039720386059e-12,1.5982529857911673e-12,2.728290733816922e-11,3.1457367384283405e-10,2.5339886015615786e-11,1.4078787730137247e-10,1.3866155884339618e-11,1.4676444557836886e-11,59.79512405551624,0.9925371847783451,10.153345921949265,0.9835513124525114,0.01644868754748869,0.9103408065168993,0.08965919348310057,sub-01,ses-S2,Resting,Resting,1,RS_Beg_EC,1,pre_EC
4.107422697864345e-12,1.0428920161331006e-11,4.565683948007647e-12,1.0122707051962998e-11,1.7961020474850235e-12,1.0444090699544107e-11,1.4381651662653984e-10,2.07633688940891e-11,6.759503293213478e-11,1.1507548924899698e-11,6.8231375557271e-12,31.499446362093867,0.8996292219606492,5.873973108719497,0.9692302450676095,0.030769754932390554,0.8545237253355675,0.14547627466443244,sub-01,ses-S2,Resting,Resting,0,RS_Beg_EO,6,pre_EO
